title,pubdate,link
"Bitcoin's MACD Indicator Flips Bearish, Scares Crypto Twitter","Jun 13, 2023",/markets/2023/06/13/bitcoins-macd-indicator-flips-bearish-scares-crypto-twitter/
"Bitmain's S19 Bitcoin Miners Account for Bulk of Network Hashrate, Says New Research","Jun 13, 2023",/tech/2023/06/13/bitmains-s19-bitcoin-miners-account-for-bulk-of-network-hashrate-says-new-research/
Bitcoin Miners Transfer $174M Worth of Coins to Exchanges in Two Weeks,"Jun 13, 2023",/markets/2023/06/13/bitcoin-miners-transfer-174m-worth-of-coins-to-exchanges-in-two-weeks/
ChatGPT-Style Crypto App Sets AI Loose on Fed Rate-Bitcoin Price Relationship,"Jun 13, 2023",/markets/2023/06/13/chatgpt-style-crypto-app-sets-ai-loose-on-fed-rate-bitcoin-price-relationship/
"Bitcoin, Ether Remain Resilient After Binance, Coinbase Suits, and Amid Long-Running Crypto Industry Turmoil","Jun 13, 2023",/markets/2023/06/13/bitcoin-ether-remain-resilient-after-binance-coinbase-suits-and-amid-long-running-crypto-industry-turmoil/
First Mover Asia: Here's Why Bitcoin's Support is Holding at $25K,"Jun 12, 2023",/markets/2023/06/12/first-mover-asia-heres-why-bitcoins-support-is-holding-at-25k/
First Mover Asia: Binance's Exchange Flow Flips Positive; Bitcoin Trades Flat,"Jun 13, 2023",/markets/2023/06/13/first-mover-asia-binances-exchange-flow-flips-positive-bitcoin-trades-flat/
"Bitcoin Dithers Below $26K as Investors Eye CPI Data, FOMC Rate Hike Decision","Jun 12, 2023",/markets/2023/06/12/bitcoin-dithers-below-26k-as-investors-eye-cpi-data-fomc-rate-hike-decision/
"Bitcoin, ether y las stablecoins representan el 80% del mercado cripto mientras los inversores huyen de las altcoins","Jun 13, 2023",/es/markets/2023/06/13/bitcoin-ether-y-las-stablecoins-representan-el-80-del-mercado-cripto-mientras-los-inversores-huyen-de-las-altcoins/
"Bitcoin, Ether and Stablecoins Total 80% of $1T Crypto Market Cap as Investors Flee Altcoins","Jun 13, 2023",/markets/2023/06/13/bitcoin-ether-and-stablecoins-total-80-of-1t-crypto-market-cap-as-investors-flee-altcoins/
U.S. CPI Inflation Slowed to 0.1% in May; Bitcoin Rises,"Jun 13, 2023",/business/2023/06/13/us-cpi-inflation-slows-to-01-in-may-bitcoin-rises/
"Bitcoin Dominance Surges, Accounting For Nearly Half of The $1T Crypto Market, Amid Altcoin Selloff","Jun 10, 2023",/markets/2023/06/10/bitcoin-now-accounts-for-nearly-half-of-the-101-trillion-crypto-market-tradingview-data-show/
Bitcoin Payments Firm Strike Moves Custody In-House After Ditching Third-Party Services,"Jun 09, 2023",/tech/2023/06/09/bitcoin-payments-firm-strike-moves-custody-in-house-after-ditching-third-party-services/
Featured Story | The Petrodollar and Its Discontents Point to Bitcoin's Role in the Financial Future,"Jun 11, 2023",/podcasts/markets-daily/featured-story-the-petrodollar-and-its-discontents-point-to-bitcoins-role-in-the-financial-future/
Bitcoin Halving Is Coming and Only the Most Efficient Miners Will Survive,"Jun 07, 2023",/business/2023/06/07/bitcoin-halving-is-coming-and-only-the-most-efficient-miners-will-survive/
Bitcoin Trades at Narrow Discount on Binance.US,"Jun 09, 2023",/markets/2023/06/09/bitcoin-trades-at-narrow-discount-on-binanceus/
"First Mover Asia: Bitcoin Remains Resilient Near $26.5K, Despite Ongoing Binance, Coinbase Fallout","Jun 09, 2023",/markets/2023/06/09/first-mover-asia-bitcoin-remains-resilient-near-265k-despite-ongoing-binance-coinbase-fallout/
"First Mover Asia: Bitcoin Falls Below $26.5K as Crypto Market Fades Amid Coinbase, Binance Angst","Jun 08, 2023",/markets/2023/06/08/first-mover-asia-bitcoin-falls-below-265k-as-crypto-market-fades-amid-coinbase-binance-angst/
Traders de bitcoin no le dan importancia a la acción de la SEC contra Binance y Coinbase,"Jun 08, 2023",/es/markets/2023/06/08/traders-de-bitcoin-no-le-dan-importancia-a-la-accion-de-la-sec-contra-binance-y-coinbase/
"Bitcoin Traders Shrug Off U.S. SEC's Action Against Binance, Coinbase","Jun 08, 2023",/markets/2023/06/08/bitcoin-traders-shrug-off-us-secs-action-against-binance-and-coinbase/
Bitcoin Hovers Around $26K Following Softer-Than-Expected CPI Data,"Jun 13, 2023",/video/bitcoin-hovers-around-dollar26k-following-softer-than-expected-cpi-data/
U.S. Inflation Cools in May; Bitcoin Rises,"Jun 13, 2023",/tv/first-mover/us-inflation-cools-in-may-bitcoin-rises/
"Bitcoin, Dogecoin Lead Bounce in Crypto Majors Day After Record 8-Month Liquidations","Jun 07, 2023",/markets/2023/06/07/bitcoin-dogecoin-lead-bounce-in-crypto-majors-day-after-record-8-month-liquidations/
Goldman Sachs: bitcoin registró grandes retiros de beneficios en mayo,"Jun 06, 2023",/es/markets/2023/06/06/goldman-sachs-bitcoin-registro-grandes-retiros-de-beneficios-en-mayo/
Bitcoin Saw Heavy Profit Taking in May: Goldman Sachs,"Jun 06, 2023",/business/2023/06/06/bitcoin-saw-heavy-profit-taking-in-may-goldman-sachs/
Lightning Data Analytics Firm Amboss Launches New ‘Liner’ Index for Bitcoin Yield,"Jun 06, 2023",/tech/2023/06/06/lightning-data-analytics-firm-amboss-launches-new-liner-index-for-bitcoin-yield/
Why Isn’t Bitcoin Falling More? Cryptos Are Acting More Like Commodities Than Securities,"Jun 06, 2023",/markets/2023/06/06/why-isnt-bitcoin-falling-more-cryptos-are-acting-more-like-commodities-than-securities/
The Lightning Network Doesn’t Fix Everything Wrong With Bitcoin,"Jun 05, 2023",/consensus-magazine/2023/06/05/the-lightning-network-doesnt-fix-everything-wrong-with-bitcoin/
"Funding Rates for Bitcoin, Ether Remain Positive, Indicating Bullish Sentiment","Jun 07, 2023",/markets/2023/06/07/funding-rates-for-bitcoin-ether-remain-positive-indicating-bullish-sentiment/
First Mover Asia: Why Did Bitcoin's Price Hold Above $27K Over the Weekend? Two Analysts Expect Continued Resilience,"Jun 05, 2023",/markets/2023/06/05/first-mover-asia-why-did-bitcoins-price-hold-above-27k-over-the-weekend-two-analysts-expect-continued-resilience/
"Bitcoin Rallies Above $27K as Crypto Market Shrugs Off SEC Lawsuits Against Binance, Coinbase","Jun 06, 2023",/markets/2023/06/06/bitcoin-rallies-above-27k-as-crypto-market-shrugs-off-sec-lawsuits-against-binance-coinbase/
"First Mover Asia: Why Did Bitcoin Regain $27K? ‘No One Is Surprised by Gensler’s Actions,’ Crypto CEO Says","Jun 07, 2023",/markets/2023/06/07/first-mover-asia-why-did-bitcoin-rise-no-one-is-surprised-by-genslers-actions-crypto-ceo-says/
The Petrodollar and Its Discontents Point to Bitcoin's Role in the Financial Future,"Jun 07, 2023",/consensus-magazine/2023/06/07/the-petrodollar-and-its-discontents-point-to-bitcoins-role-in-the-financial-future/
La demanda minorista de bitcoin seguirá siendo sólida antes de la reducción a la mitad,"Jun 05, 2023",/es/markets/2023/06/05/la-demanda-minorista-de-bitcoin-seguira-siendo-solida-antes-de-la-reduccion-a-la-mitad/
Bitcoin Retail Demand to Remain Strong Ahead of Halving Event: JPMorgan,"Jun 05, 2023",/markets/2023/06/05/bitcoin-retail-demand-to-remain-strong-ahead-of-halving-event-jpmorgan/
First Mover Asia: Why Did Bitcoin Fall to $25.4K? SEC Lawsuit Against Binance Rocks Crypto Markets,"Jun 06, 2023",/markets/2023/06/06/first-mover-asia-why-did-bitcoin-fall-to-254k-sec-lawsuit-against-binance-rocks-crypto-markets/
First Mover Americas: Is Bitcoin Heading Below $26K?,"Jun 05, 2023",/markets/2023/06/05/first-mover-americas-is-bitcoin-heading-below-26k/
"Bitcoin Remains Resilient Despite Ongoing Binance, Coinbase Fallout","Jun 09, 2023",/video/bitcoin-remains-resilient-despite-ongoing-binance-coinbase-fallout/
Meanwhile CEO on Future of Bitcoin Life Insurance,"Jun 09, 2023",/video/meanwhile-ceo-on-future-of-bitcoin-life-insurance/
Featured Story | Should Russia Bolster or Ban Bitcoin?,"Jun 09, 2023",/podcasts/markets-daily/featured-story-should-russia-bolster-or-ban-bitcoin/
"Bitcoin, Ether Trade at Premiums on Binance.US as Investors Flee Following SEC Actions","Jun 07, 2023",/markets/2023/06/07/bitcoin-ether-trade-at-premiums-on-binanceus-as-investors-flee-following-sec-actions/
Bitcoin-Denominated Life Insurance Provider Sets Up Shop With $19M Funding,"Jun 06, 2023",/business/2023/06/06/bitcoin-denominated-life-insurance-provider-sets-up-shop-with-19m-funding/
El Salvador's Volcano Energy Secures $1B in Commitments for 241 MW Bitcoin Mine,"Jun 05, 2023",/business/2023/06/05/el-salvadors-volcano-energy-secures-1b-in-commitments-for-241-mw-bitcoin-mine/
"First Mover Americas: Bitcoin Shows Resilience Amid SEC Lawsuits Against Binance, Coinbase","Jun 07, 2023",/markets/2023/06/07/first-mover-americas-bitcoin-shows-resilience-amid-sec-lawsuits-against-binance-coinbase/
"Solving Lightning’s ‘Inbound Liquidity’ Problem Is Focus of New Layer 2 Bitcoin Protocol, Ark","Jun 02, 2023",/tech/2023/06/02/solving-lightnings-inbound-liquidity-problem-is-focus-of-new-layer-2-bitcoin-protocol/
Marathon Digital Mined 77% More Bitcoin in May With the Help of Its Software,"Jun 02, 2023",/tech/2023/06/02/marathon-digital-mined-77-more-bitcoin-in-may-with-the-help-of-its-software/
"Crypto Update | Bitcoin, DeFi Shrug Off SEC’s Action Against Binance and Coinbase","Jun 08, 2023",/podcasts/markets-daily/crypto-update-bitcoin-defi-shrug-off-secs-action-against-binance-and-coinbase/
What Bitcoin's 2024 Halving Means for Miners,"Jun 08, 2023",/video/what-bitcoins-2024-halving-means-for-miners/
"Tras el primer mes de pérdidas del 2023, bitcoin y ether mostraron diferentes señales","Jun 02, 2023",/es/markets/2023/06/02/tras-el-primer-mes-de-perdidas-del-2023-bitcoin-y-ether-mostraron-diferentes-senales/
"First Mover Asia: Bitcoin Settles Above $27.1K After Early Wednesday Dip as Rate Hike, Inflation Worries Heighten","Jun 01, 2023",/markets/2023/06/01/first-mover-asia-bitcoin-settles-above-271k-after-early-wednesday-dip-as-rate-hike-inflation-worries-heighten/
